playerId,season,name,salary,team,position,gamesPlayed,primaryAssists,secondaryAssists,shotsOnGoal,points,goals,hits,shotsBlockedByPlayer
8477498,2023,Darnell Nurse,9.25,EDM,D,81,11,11,181,32,10,168,172
8478500,2023,Ivan Provorov,6.75,CBJ,D,82,13,14,107,32,5,66,155
8478458,2023,Jack Roslovic,2.8,NYR,C,59,12,10,117,31,9,28,24
8481624,2023,Ilya Mikheyev,4.75,VAN,R,78,10,10,147,31,11,49,20
8474189,2023,Lars Eller,2.45,PIT,C,82,8,8,154,31,15,55,56
8477495,2023,Seth Jones,9.5,CHI,D,67,12,11,172,31,8,77,131
8476979,2023,Erik Gustafsson,2,NYR,D,76,15,10,93,31,6,63,66
8476331,2023,Dylan DeMelo,4.9,WPG,D,82,12,16,83,31,3,166,139
8476292,2023,Ondrej Palat,6,NJD,L,71,13,7,108,31,11,92,49
8475848,2023,Brendan Gallagher,6.5,MTL,R,77,10,5,154,31,16,63,35
8480074,2023,Alexandre Texier,2.1,CBJ,C,78,11,7,109,30,12,57,36
8473533,2023,Jordan Staal,2.9,CAR,C,80,7,13,123,30,10,142,41
8475768,2023,Jaden Schwartz,5.5,SEA,C,62,9,8,117,30,13,46,27
8475753,2023,Justin Faulk,6.5,STL,D,60,16,12,132,30,2,83,104
8478469,2023,Thomas Chabot,8,OTT,D,51,9,12,118,30,9,44,88
8480064,2023,Josh Norris,7.95,OTT,C,50,3,11,115,30,16,86,30
8484145,2023,Zach Benson,1.6,BUF,L,71,11,8,98,30,11,35,35
8477987,2023,Ryan Donato,2,CHI,C,78,12,6,149,30,12,104,24
8481546,2023,Cam York,1.6,PHI,D,82,5,15,134,30,10,76,174
8475149,2023,Marcus Johansson,2,MIN,L,78,9,10,112,30,11,44,29
8480802,2023,Ryan McLeod,2.1,EDM,C,81,15,3,106,30,12,65,34
8480817,2023,K'Andre Miller,3.87,NYR,D,80,5,17,96,30,8,148,117
